Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2015,OH,MF,OH:2,1750,172,0,0,0,75,15715,21,0,0,50,13,0,24,0,1,0,6857,227,0,0,13,1,126,116,8,0,38,0,41,1,0,6,0
2015,OH,MF,OH:3,5414,305,109,0,0,65,62752,33,0,0,132,37,1,18,0,30,0,27178,94,0,0,65,53,174,369,82,0,274,0,573,1590,0,0,0
2015,TN,MF,TN:1,47,750,1580,0,0,10,775,245,0,0,37560,20,14900,6738,0,171650,0,373623,20,0,0,3700,2150,80,4740,35,5725,0,0,0,0,0,468,0
2015,TN,MF,TN:2,2919,5690,3234,0,0,356,3709,1565,0,0,20025,148,1850,8664,0,230,0,105816,670,0,0,7380,465,0,10245,797,0,1406,0,0,50,0,314,0
2015,TN,MF,TN:3,2543,44,999,0,0,1500,4347,0,0,0,1621,25,0,92,0,6,0,25763,62,0,0,52,83,216,2210,2,36610,6,0,0,25,0,260,0
2015,WI,MF,WI:1,17,0,0,0,0,0,4662,0,0,0,0,248,0,0,0,0,0,1115,17,0,0,0,0,0,0,0,0,0,0,370,0,0,1,0
2015,WI,MF,WI:2,18,0,0,0,0,1,5172,0,0,0,34,527,0,0,0,0,1,2515,1067,0,0,0,0,0,0,1,0,0,0,434,0,0,0,0
2015,WI,MF,WI:3,42,1001,0,0,0,10675,46626,8,0,0,9,2673,0,0,0,0,0,11628,1638,0,0,0,139,11,0,3,1,30,1,410,7,0,0,0
2015,WI,MF,WI:4,84,0,0,0,0,42,12287,0,0,0,0,9213,0,0,0,0,116,4489,801,0,0,0,0,0,0,0,0,2658,14,118,27,0,2,0
2014,AL,MF,AL:1,932,34819,4215,0,0,616,1488,2928,0,0,29210,520,245,506,0,2700,0,24517,985,0,0,2195,396,3280,5073,222,12771,2546,0,0,20,0,364,0
2014,AL,MF,AL:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,AL,MF,AL:3,0,1335,0,0,0,97,73,0,0,0,895,0,0,55,0,0,0,0,0,0,7,0,0,0,0,0,0,25,0,0,35,0,0,0
2014,AL,MF,AL:4,0,500,100,100,0,0,0,0,0,0,100,0,0,125,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,200,0,700,0
2014,AR,MF,AR:0,0,0,0,0,0,300,3710,0,0,0,69847,0,141959,16728,0,1448079,0,807133,0,0,0,8469,10610,0,6144,0,0,892,0,0,0,0,0,0
2014,AR,MF,AR:1,0,385,0,0,0,129,2749,36,0,0,26778,0,400,6656,0,7800,0,58692,70,0,0,0,3662,0,136,0,0,860,0,0,0,0,104,0
2014,IA,MF,IA:1,10,0,0,0,0,1,6750,240,0,0,2,2031,0,0,0,0,0,624,779,0,0,0,0,0,0,0,0,20,0,28,1,0,0,0
2014,IA,MF,IA:2,0,0,0,0,0,0,27728,0,0,0,0,15,31,5,0,3,0,36355,19,0,0,5,0,0,2,0,0,1,0,65,0,0,0,0
2014,IA,MF,IA:3,0,0,2,0,0,34,78771,4,0,0,0,246,0,0,0,0,0,16019,257,0,0,0,0,9,20,0,0,350,0,131,0,0,6,0
2014,IA,MF,IA:4,0,0,0,0,0,1,16145,0,0,0,0,3,0,0,0,0,0,2545,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0
2014,IA,MF,IA:5,1,4,0,0,0,1,28597,0,0,0,0,10,0,2,0,0,0,9177,28,0,0,1,0,0,0,0,0,3,0,213,0,0,0,0
2014,IL,MF,IL:1,5,0,0,0,0,0,8600,1085,0,0,0,7200,0,0,0,0,0,46305,9400,0,0,0,0,0,300,0,0,150,0,6,0,0,0,0
2014,IL,MF,IL:2,205,0,0,0,0,490,76560,0,0,0,0,2025,355,0,0,0,0,33438,1649,0,0,0,0,0,0,0,0,0,0,118,100,0,0,0
2014,IL,MF,IL:3,60,35,0,0,0,4,40550,800,0,0,900,7778,3525,0,0,8150,0,11615,790,0,0,200,0,0,1150,472,0,50,0,64,0,0,0,0
2014,IL,MF,IL:4,0,0,0,0,0,95,1555,0,0,0,0,280,0,0,0,0,0,180,315,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0
2014,IL,MF,IL:5,0,0,150,0,0,0,17950,1000,0,0,2550,0,11250,0,0,19250,0,19440,10,0,0,500,100,0,100,0,0,0,0,401,0,0,0,0
2014,IN,MF,IN:1,18,7,0,0,0,4,4924,0,0,0,25,97,0,0,0,0,0,1502,83,0,0,2,0,0,1,1,5,0,0,124,92,0,0,0
2014,IN,MF,IN:2,441,693,8,0,0,240,35075,148,0,0,491,729,970,4,0,1216,0,21949,222,0,0,31,26,83,273,53,203,353,0,77,559,0,0,0
2014,IN,MF,IN:3,6,163,0,0,0,27,226,10,0,0,39,35,0,0,0,23,0,214,8,0,0,0,2,18,3,1,0,7,3,0,0,0,0,0
2014,IN,MF,IN:4,150,0,0,0,0,0,289,0,0,0,40,18,20,0,0,150,0,2027,3,0,0,0,0,0,6,0,0,10,0,126,0,0,0,0
2014,KY,MF,KY:1,186,3375,377,0,0,16,12208,173,0,0,3010,232,1950,1550,0,11560,0,79344,40,0,0,145,10,20,2250,5,0,3330,0,32,0,0,14,0
2014,KY,MF,KY:2,1719,187,0,0,0,177,17123,400,0,0,608,69,0,50,0,19,2,9696,279,0,0,23,0,23,321,7,0,245,4,4,0,0,0,0
2014,KY,MF,KY:3,499,135,0,0,0,663,1296,0,0,0,47,50,0,0,0,3,0,2318,0,0,0,0,0,4,230,265,8476,9,0,12,0,0,0,0
2014,LA,MF,LA:1,0,15991,0,0,0,29,0,1394,0,0,6999,0,0,2491,0,0,0,7462,0,0,0,531,1463,0,3918,18,0,188,0,0,0,0,88,0
2014,LA,MF,LA:2,0,45194,1755,430,0,0,0,58230,0,0,55143,0,60998,58310,0,419039,0,95839,218,0,4,80050,59643,0,33864,105,20,585,0,0,0,250,677,0
2014,LA,MF,LA:3,0,503242,8564,16863,0,35,0,4563,0,0,606616,0,54978,371911,0,357855,0,138165,210,0,25696,124542,347759,0,244339,0,14853,21657,0,0,0,7700,2,0
2014,LA,MF,LA:4,0,857351,5089,12286,0,9889,10,11705,0,0,338516,0,569,229705,0,3765,0,15340,4896,0,24358,73500,10323,0,126934,360,0,803211,0,0,0,0,0,0
2014,MI,MF,MI:1,0,0,0,0,0,30,0,0,0,0,0,60,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,35,130,0,0,0
2014,MI,MF,MI:2,0,0,0,0,0,53,0,0,0,0,0,28,0,0,0,0,12,452,142,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
2014,MI,MF,MI:3,118,0,0,0,0,545,180,0,0,0,75,1372,0,0,0,0,785,1294,3570,0,0,3,0,6300,0,0,0,158,310,386,3,0,0,0
2014,MI,MF,MI:4,0,0,0,0,0,0,5,0,0,0,0,420,0,0,0,0,0,385,380,0,0,0,0,0,135,0,0,0,0,39,0,0,0,0
2014,MI,MF,MI:5,500,0,0,0,0,238,14843,15,0,0,0,730,0,0,0,0,8350,8724,552,0,0,0,0,120,0,0,0,362,20,407,0,0,0,0
2014,MI,MF,MI:6,30,0,0,0,0,3,7137,0,0,0,0,158,0,0,0,0,15,593,92,0,0,0,0,0,0,0,0,6,0,207,0,0,0,0
2014,MI,MF,MI:7,770,0,0,0,0,0,2740,36082,0,0,0,749,0,0,0,0,61,9012,11695,0,0,0,0,2480,0,0,0,3655,0,3015,6,0,0,0
2014,MN,MF,MN:1,0,0,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,329,20,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0
2014,MN,MF,MN:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,MN,MF,MN:3,2,0,0,0,0,0,785,0,0,0,0,287,0,0,0,0,0,2781,728,0,0,0,0,1,0,0,0,3,0,173,0,0,1,0
2014,MN,MF,MN:4,2,1,0,0,0,2,4562,0,0,0,86,551,0,0,0,0,0,11089,114,0,0,0,2,0,78,0,0,0,0,1963,0,0,0,0
2014,MO,MF,MO:1,0,0,0,0,0,0,16056,0,0,0,0,344,0,0,0,3500,0,78845,247,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2014,MO,MF,MO:2,0,0,0,0,0,96,127197,17,0,0,28,236,0,0,0,122031,0,62212,2755,0,0,0,4,20,0,0,10,17,0,376,48,0,0,0
